5317,232944
15124,216596
14313,200832
15205,196397
1905,193941
6287,193295
11283,181508
16377,181426
16242,178068
12470,177556
15582,176539
9340,173596
6972,171991
12317,164792
2152,162597
3860,160454
15107,160326
6037,158601
4432,156183
5496,155714
571,154832
14538,154640
14367,154348
3938,153996
12232,152406
7624,152085
11064,152078
4996,151847
4306,151292
11521,151245
7234,151031
13728,150592
2452,149866
6386,148146
12911,147661
13050,147313
8782,147251
13081,147236
17169,145540
1962,145519
16954,144320
6206,143697
12582,143682
16879,143668
7617,141442
8644,141073
3962,140979
14691,140763
14454,140564
1145,140154
14550,139660
3624,139428
12672,139247
11677,139158
16384,138193
2372,137170
17355,136919
3427,136850
12155,136461
2782,135601
12918,135449
3106,135431
13651,135013
14240,134284
1220,134241
10947,133457
9756,132358
6134,132237
14410,132142
17157,131175
4656,130782
11089,130243
14621,128493
2862,128446
5862,127318
14712,127073
6971,126816
11149,125878
6692,125479
17088,124158
5401,122795
4640,122158
4123,121769
12161,121761
5926,121669
1307,121207
8904,120697
16668,119812
14149,119653
13462,118884
8387,118880
30,118413
10042,118212
16882,117314
3282,117270
11337,116767
457,116762
6844,116716
10583,116609
3151,116362
14103,115990
10550,115585
1542,114997
4745,114327
15755,114043
14312,113838
13359,113717
1428,113674
1798,113377
5085,113084
10168,111946
11443,111411
14574,110438
17308,110363
1865,110159
10358,109917
17324,109610
9471,109385
1180,108771
886,108606
9960,108528
12966,108354
6974,108343
2913,107443
11077,107345
10359,107111
11314,107094
7635,107083
3925,106807
12293,106327
4577,106291
16139,106285
17627,106238
15393,106211
4356,106020
11182,105861
2122,105697
16082,105518
14644,105045
12299,104800
3825,104632
758,104362
17560,104031
5054,103652
11781,103431
11022,103105
15471,103074
11812,102861
4951,102754
15062,102576
16765,102031
11040,101779
6859,101500
2391,101188
12870,101141
4472,101118
12084,101042
12732,100556
9617,100340
6042,100298
607,100248
6475,100112
10730,99910
313,99812
15887,99686
13763,99460
8596,99324
12785,99304
15563,99009
14660,98765
191,98720
1110,98700
1470,98696
7745,98116
15788,98002
3917,97939
4972,97491
14999,97165
5939,97112
6196,96778
5181,96602
6797,95472
14928,95335
15844,95095
12338,94041
7281,93391
3756,93241
16128,93202
9592,92691
8687,92671
10378,92555
5582,92470
11607,92345
15394,92294
8764,91369
12343,90675
4043,90591
17154,90472
175,90450
5732,90408
4345,90387
13614,90320
10170,90245
483,90010
985,89999
11490,89911
9728,89892
2342,89865
8393,89799
16452,89784
3333,89714
16272,89654
5293,89348
5345,89080
9628,88846
13102,88733
7193,88687
6931,88310
14725,88183
14382,88120
11837,88067
7331,87939
13923,87658
2112,87622
2095,87389
2612,87139
8327,87056
6829,86619
15646,85716
10123,85669
6029,85299
16265,85184
4266,85050
17149,84794
14358,84651
6099,84590
2874,83849
3638,83680
13402,83564
15156,83437
6274,83249
6408,82949
8181,82906
8743,82849
16707,82444
14590,82374
12435,81930
16640,81881
10375,81596
15425,81316
798,81278
197,81260
7233,81219
12034,81127
10774,81100
10820,80941
5807,80836
8636,80519
16339,80349
6497,80345
2660,80295
15922,80207
2580,80136
7767,80122
9645,79918
13195,79889
1144,79845
16438,79741
6329,79630
12494,79557
5614,79325
9188,79062
2200,78980
13391,78944
1202,78878
9051,78795
4590,78719
5318,78584
12047,78304
3368,78213
6720,77597
357,77314
6350,77021
299,76944
7240,76705
5571,76698
14670,76601
14482,76475
14718,76453
5112,75824
5472,75801
10451,75242
3610,75148
3371,75140
7057,74912
3605,74829
9111,74779
5814,74466
1406,74076
7509,73852
3320,73795
7511,73645
7230,73422
12074,73353
1102,73337
14961,73335
17479,73266
7364,73029
1744,73004
9254,72884
8915,72833
17441,72543
708,72381
6510,72379
16922,71951
9049,71639
3290,71614
10906,71555
11265,71441
9886,71143
17339,70959
4545,70799
14215,70712
14050,70467
10928,70452
15048,70370
11152,70341
14780,70269
14109,70176
14909,69665
6030,69249
7937,69056
5924,68818
7397,68615
17129,68419
15472,67967
15058,67860
7904,67795
3079,67575
12605,67311
16286,67177
16343,66577
9882,66395
329,66266
15151,65948
9205,65933
15116,65884
2800,65700
5695,65630
312,65477
1754,65363
5628,65317
5226,65185
13255,65074
17764,64957
10607,64917
14667,64742
11279,64590
6428,64555
11173,64281
9426,64175
14869,64161
9818,64065
16390,63731
5154,63666
6205,63307
10225,63219
4330,63042
7032,62963
12881,62955
11398,62906
1799,62809
3254,62628
9189,62604
8846,62547
3905,62457
7399,62296
8832,61758
6555,61695
13582,61694
13705,61575
10625,61447
8079,61353
6615,61274
13748,61249
2186,61174
5762,61093
16792,61087
6347,61059
13580,61039
1561,61019
13302,60889
13052,60861
2743,60787
16740,60612
9768,60544
3538,60471
10785,60425
468,60415
6833,59968
1073,59518
15764,59352
17622,59296
1615,59137
17215,59078
