1518,1494,3
2717,1135,3
529,2222,2
2163,2222,3
517,2222,3
1620,2222,3
2355,2222,4
2688,2222,3
205,2222,4
975,2222,3
993,2222,3
84,2222,2
7,2222,4
782,2222,3
2358,2222,2
810,2222,4
1319,2222,4
1548,2222,2
133,2222,2
104,2222,4
2998,2222,1
1236,2222,2
1462,2222,3
2781,2222,2
2432,2222,4
766,2222,3
1007,2222,3
2837,2222,3
138,2222,3
631,2222,4
700,2222,3
2051,2222,5
603,2222,4
1176,2222,2
1936,2222,3
665,2222,3
177,2222,3
51,2222,3
1639,2222,1
1388,2222,4
1555,2222,2
1967,2222,2
1299,2222,2
1987,2222,2
437,2222,3
1203,2222,2
791,2222,3
2472,2222,2
2557,2222,4
2571,2222,3
512,2496,5
152,2496,3
229,2496,4
2028,2496,4
874,2496,3
2801,2496,4
751,2496,3
1265,2496,3
487,2496,3
1330,2496,5
897,2496,4
1579,2496,5
1800,2496,4
340,2496,4
2722,2496,4
2615,2496,4
1911,2496,4
2243,2496,4
2979,2496,4
2310,2496,3
113,2496,5
2875,2496,4
2046,2496,5
2688,2496,4
76,2496,4
2919,2496,5
2597,2496,4
359,2496,5
1631,2496,5
2129,2496,3
1135,2496,4
2058,2496,2
1218,2496,4
165,2496,5
1441,2496,3
413,2496,4
1430,2496,5
1345,2496,5
1869,2496,4
621,2496,4
196,2496,5
626,2496,4
774,2496,5
2973,2496,4
230,2496,3
52,2496,4
19,2496,3
1071,2496,4
2358,2496,3
203,2496,4
2336,2496,3
600,2496,3
2848,2496,4
2152,2496,4
36,2496,4
2007,2496,3
1335,2496,4
1486,2496,2
2976,2496,4
2275,2496,4
1205,2496,4
647,2496,4
250,2496,5
2819,2496,1
2769,2496,2
1995,2496,3
2507,2496,5
2027,2496,4
1587,2496,3
1169,2496,4
1758,2496,5
252,2496,4
646,2496,3
1798,2496,5
458,2496,4
1038,2496,4
758,2496,4
1695,2496,4
2972,2496,4
1493,2496,5
1309,2496,3
1980,2496,1
1900,2496,5
2934,2496,3
397,2496,5
422,2496,2
1537,2496,5
938,2496,3
2576,2496,2
107,2496,3
1371,2496,5
934,2496,3
2367,2496,4
1660,2496,3
247,2496,3
884,2496,3
326,2496,4
94,2496,2
2671,2496,3
707,2496,5
766,2496,3
1264,2496,5
2454,2496,4
641,2496,3
2499,2496,4
2646,2496,4
1470,2496,1
116,2496,3
88,2496,4
894,2496,3
105,2496,3
2328,2496,4
2552,2496,5
2106,2496,3
596,2496,4
480,2496,4
1351,2496,4
1664,2496,5
1597,2496,4
2518,2496,4
299,2496,4
2759,2496,3
1348,2496,2
1106,2496,4
767,2496,5
1855,2496,3
2005,2496,5
2062,2496,3
142,2496,4
1212,2496,3
138,2496,4
14,2496,5
496,2496,4
1691,2496,4
577,2496,3
1725,2496,3
1566,2496,3
2779,2496,4
9,2496,4
466,2496,5
595,2496,4
1363,2496,4
2683,2496,5
1081,2496,3
2233,2496,4
2126,2496,3
663,2496,5
330,2496,5
259,2496,5
2927,2496,3
1174,2496,4
2565,2496,4
1603,2496,4
1672,2496,4
2290,2496,3
1409,2496,1
1670,2496,4
1888,2496,1
1658,2496,4
1090,2496,5
477,2496,4
537,2496,5
743,2496,4
912,2496,4
2238,2496,5
2369,2496,3
847,2496,4
2787,2496,5
1535,2496,3
99,2496,2
471,2496,5
2970,2496,2
208,2496,4
2741,2496,4
1936,2496,5
1817,2496,5
749,2496,4
22,2496,2
335,2496,4
1398,2496,4
2192,2496,3
2916,2496,3
2120,2496,3
739,2496,4
1616,2496,4
1528,2496,3
429,2496,3
2687,2496,5
1639,2496,1
2222,2496,5
1094,2496,5
959,2496,4
2570,2496,4
